Major,Gender,Year,Number
Liberal Studies,Male,2012,68
Linguistics,Female,2012,45
Linguistics,Male,2012,13
Mathematics,Female,2012,68
Mathematics,Male,2012,103
Meteorology,Female,2012,32
Meteorology,Male,2012,68
Music,Female,2012,55
Music,Male,2012,60
Open Option-LAS,Female,2012,430
Open Option-LAS,Male,2012,345
P-Prof Hlth Prg,Female,2012,35
P-Prof Hlth Prg,Male,2012,23
Performing Arts,Female,2012,36
Performing Arts,Male,2012,31
Philosophy,Female,2012,6
Philosophy,Male,2012,19
Physics,Female,2012,17
Physics,Male,2012,67
Political Sc,Female,2012,77
Political Sc,Male,2012,130
Pre-Advertising,Female,2012,56
Pre-Advertising,Male,2012,35
Pre-Computer Sc,Female,2012,18
Pre-Computer Sc,Male,2012,159
Pre-Journ/Ms Cm,Female,2012,137
Pre-Journ/Ms Cm,Male,2012,81
Pre-Liberal St,Female,2012,24
Pre-Liberal St,Male,2012,37
PreBiol/Med Ill,Female,2012,37
PreBiol/Med Ill,Male,2012,7
Prep Human Med,Female,2012,40
Prep Human Med,Male,2012,40
Prep Law,Female,2012,8
Prep Law,Male,2012,5
Psychology,Female,2012,408
Psychology,Male,2012,190
Public Relation,Female,2012,NA
Public Relation,Male,2012,NA
Religious St,Female,2012,7
Religious St,Male,2012,7
Russian St,Female,2012,NA
Sociology,Female,2012,55
Sociology,Male,2012,41
Software Engr,Female,2012,5
Software Engr,Male,2012,104
Spanish,Female,2012,8
Spanish,Male,2012,2
Speech Comm,Female,2012,27
Speech Comm,Male,2012,15
Statistics,Female,2012,44
Statistics,Male,2012,43
Technical Comm,Female,2012,11
Technical Comm,Male,2012,9
Women's Studies,Female,2012,6
Women's Studies,Male,2012,NA
World Lng & Cul,Female,2012,46
World Lng & Cul,Male,2012,16
Advertising,Female,2013,124
Advertising,Male,2013,72
Anthropology,Female,2013,56
Anthropology,Male,2013,16
Biochemistry,Female,2013,66
Biochemistry,Male,2013,67
Bioinfo & Com B,Female,2013,4
Bioinfo & Com B,Male,2013,7
Biol/Pre-Med Il,Female,2013,21
Biol/Pre-Med Il,Male,2013,1
Biology,Female,2013,259
Biology,Male,2013,177
Biophysics,Female,2013,3
Biophysics,Male,2013,5
Chemistry,Female,2013,67
Chemistry,Male,2013,62
Comm Studies,Female,2013,149
Comm Studies,Male,2013,79
Computer Sc,Female,2013,16
Computer Sc,Male,2013,171
Criminal Jst St,Female,2013,NA
Criminal Jst St,Male,2013,NA
Earth Science,Female,2013,4
Earth Science,Male,2013,8
Economics,Female,2013,27
Economics,Male,2013,54
English,Female,2013,182
English,Male,2013,79
Environ Sci LAS,Female,2013,34
Environ Sci LAS,Male,2013,34
French,Female,2013,NA
Genetics-LAS,Female,2013,45
Genetics-LAS,Male,2013,35
Geology,Female,2013,16
Geology,Male,2013,44
German,Female,2013,NA
German,Male,2013,NA
History,Female,2013,98
History,Male,2013,202
Interdisc St,Female,2013,119
Interdisc St,Male,2013,219
Intnsv Engl LAS,Female,2013,34
Intnsv Engl LAS,Male,2013,73
Journ/Mass Comm,Female,2013,256
Journ/Mass Comm,Male,2013,153
Lib Arts/Sc Crt,Male,2013,1
Lib Arts/Sc Opt,Female,2013,4
Lib Arts/Sc Opt,Male,2013,6
Lib Arts/Sc Spc,Female,2013,83
Lib Arts/Sc Spc,Male,2013,87
Liberal Studies,Female,2013,50
Liberal Studies,Male,2013,70
Linguistics,Female,2013,51
Linguistics,Male,2013,22
Mathematics,Female,2013,72
Mathematics,Male,2013,111
Meteorology,Female,2013,39
Meteorology,Male,2013,56
Music,Female,2013,60
Music,Male,2013,52
Open Option-LAS,Female,2013,419
Open Option-LAS,Male,2013,365
P-Prof Hlth Prg,Female,2013,50
P-Prof Hlth Prg,Male,2013,11
Performing Arts,Female,2013,35
Performing Arts,Male,2013,31
Philosophy,Female,2013,7
Philosophy,Male,2013,18
Physics,Female,2013,21
Physics,Male,2013,73
Political Sc,Female,2013,85
Political Sc,Male,2013,126
Pre-Advertising,Female,2013,NA
Pre-Advertising,Male,2013,NA
Pre-Computer Sc,Female,2013,27
Pre-Computer Sc,Male,2013,229
Pre-Journ/Ms Cm,Female,2013,NA
Pre-Journ/Ms Cm,Male,2013,NA
Pre-Liberal St,Female,2013,28
Pre-Liberal St,Male,2013,39
PreBiol/Med Ill,Female,2013,27
PreBiol/Med Ill,Male,2013,7
Prep Human Med,Female,2013,50
Prep Human Med,Male,2013,33
Prep Law,Female,2013,5
Prep Law,Male,2013,10
Psychology,Female,2013,447
Psychology,Male,2013,182
Public Relation,Female,2013,NA
Public Relation,Male,2013,NA
Religious St,Female,2013,7
Religious St,Male,2013,6
Russian St,Female,2013,NA
Sociology,Female,2013,64
Sociology,Male,2013,42
Software Engr,Female,2013,9
Software Engr,Male,2013,140
Spanish,Female,2013,NA
Spanish,Male,2013,NA
Speech Comm,Female,2013,23
Speech Comm,Male,2013,18
Statistics,Female,2013,33
Statistics,Male,2013,45
Technical Comm,Female,2013,7
Technical Comm,Male,2013,7
Women's Studies,Female,2013,7
Women's Studies,Male,2013,NA
World Lng & Cul,Female,2013,43
World Lng & Cul,Male,2013,13
Advertising,Female,2014,131
Advertising,Male,2014,85
Anthropology,Female,2014,49
Anthropology,Male,2014,14
Biochemistry,Female,2014,76
Biochemistry,Male,2014,86
Bioinfo & Com B,Female,2014,7
Bioinfo & Com B,Male,2014,8
Biol/Pre-Med Il,Female,2014,16
Biol/Pre-Med Il,Male,2014,3
Biology,Female,2014,252
Biology,Male,2014,176
Biophysics,Female,2014,4
Biophysics,Male,2014,6
Chemistry,Female,2014,62
Chemistry,Male,2014,69
Comm Studies,Female,2014,160
Comm Studies,Male,2014,74
Computer Sc,Female,2014,23
Computer Sc,Male,2014,190
Criminal Jst St,Female,2014,NA
Criminal Jst St,Male,2014,NA
Earth Science,Female,2014,5
Earth Science,Male,2014,6
Economics,Female,2014,25
Economics,Male,2014,60
English,Female,2014,184
English,Male,2014,90
Environ Sci LAS,Female,2014,36
Environ Sci LAS,Male,2014,26
French,Female,2014,NA
Genetics-LAS,Female,2014,56
Genetics-LAS,Male,2014,37
Geology,Female,2014,23
Geology,Male,2014,43
German,Female,2014,NA
German,Male,2014,NA
History,Female,2014,86
History,Male,2014,191
Interdisc St,Female,2014,120
Interdisc St,Male,2014,249
Intnsv Engl LAS,Female,2014,38
Intnsv Engl LAS,Male,2014,76
Journ/Mass Comm,Female,2014,208
Journ/Mass Comm,Male,2014,137
Lib Arts/Sc Crt,Male,2014,NA
Lib Arts/Sc Opt,Female,2014,6
Lib Arts/Sc Opt,Male,2014,7
Lib Arts/Sc Spc,Female,2014,106
Lib Arts/Sc Spc,Male,2014,112
Liberal Studies,Female,2014,41
Liberal Studies,Male,2014,45
Linguistics,Female,2014,54
Linguistics,Male,2014,20
Mathematics,Female,2014,70
Mathematics,Male,2014,108
Meteorology,Female,2014,34
Meteorology,Male,2014,58
Music,Female,2014,65
Music,Male,2014,49
Open Option-LAS,Female,2014,416
Open Option-LAS,Male,2014,362
P-Prof Hlth Prg,Female,2014,33
P-Prof Hlth Prg,Male,2014,19
Performing Arts,Female,2014,31
Performing Arts,Male,2014,28
Philosophy,Female,2014,4
Philosophy,Male,2014,30
Physics,Female,2014,17
Physics,Male,2014,80
Political Sc,Female,2014,83
Political Sc,Male,2014,127
Pre-Advertising,Female,2014,NA
Pre-Advertising,Male,2014,NA
Pre-Computer Sc,Female,2014,23
Pre-Computer Sc,Male,2014,262
Pre-Journ/Ms Cm,Female,2014,NA
Pre-Journ/Ms Cm,Male,2014,NA
Pre-Liberal St,Female,2014,14
Pre-Liberal St,Male,2014,42
PreBiol/Med Ill,Female,2014,30
PreBiol/Med Ill,Male,2014,5
Prep Human Med,Female,2014,31
Prep Human Med,Male,2014,20
Prep Law,Female,2014,11
Prep Law,Male,2014,6
Psychology,Female,2014,496
Psychology,Male,2014,176
Public Relation,Female,2014,132
Public Relation,Male,2014,36
Religious St,Female,2014,9
Religious St,Male,2014,10
Russian St,Female,2014,NA
Sociology,Female,2014,59
Sociology,Male,2014,37
Software Engr,Female,2014,6
Software Engr,Male,2014,159
Spanish,Female,2014,NA
Spanish,Male,2014,NA
Speech Comm,Female,2014,20
Speech Comm,Male,2014,17
Statistics,Female,2014,34
Statistics,Male,2014,39
Technical Comm,Female,2014,8
Technical Comm,Male,2014,8
Women's Studies,Female,2014,9
Women's Studies,Male,2014,1
World Lng & Cul,Female,2014,56
World Lng & Cul,Male,2014,16
Advertising,Female,2015,124
Advertising,Male,2015,100
Anthropology,Female,2015,33
Anthropology,Male,2015,17
Biochemistry,Female,2015,64
Biochemistry,Male,2015,80
Bioinfo & Com B,Female,2015,10
Bioinfo & Com B,Male,2015,8
Biol/Pre-Med Il,Female,2015,15
Biol/Pre-Med Il,Male,2015,3
Biology,Female,2015,247
Biology,Male,2015,169
Biophysics,Female,2015,5
Biophysics,Male,2015,4
Chemistry,Female,2015,73
Chemistry,Male,2015,80
Comm Studies,Female,2015,145
Comm Studies,Male,2015,67
Computer Sc,Female,2015,22
Computer Sc,Male,2015,235
Criminal Jst St,Female,2015,NA
Criminal Jst St,Male,2015,NA
Earth Science,Female,2015,5
Earth Science,Male,2015,7
Economics,Female,2015,23
