series_id,year,period,value,date,area_code,base_period,series_title,begin_year,begin_period,end_year,end_period,area_name,region,sort_sequence
CUURA210SA0,2007,5,196.21599999999998,2007-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2007,7,197.01,2007-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2007,9,197,2007-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2007,11,197.726,2007-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,1,199.686,2008-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,3,202.5,2008-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,5,204.88200000000003,2008-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,7,206.941,2008-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,9,206.21899999999997,2008-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2008,11,198.187,2008-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
