Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208
1,1,2.3,102770,23090,2678,1257,63140,173.4,18.59,667,2.26,30.96,43.08,10.8,3.99,9.52,3.52,1.148,1.106
1,2,1.72,102510,22850,2652,1244.2,62900,173.3,18.15,680,2.14,31.06,45.44,10.7,3.88,9.48,3.42,1.152,1.038
1,3,2.06,101850,23040,2722,1246,62680,171.1,18.11,658,2.15,30.49,43.56,10.72,4.08,9.24,3.21,1.1,1.156
1,4,2.22,102970,23260,2731,1267,63670,170.8,18.15,662,2.08,31.86,45.56,10.59,4.03,9.22,3.75,1.245,1.137
1,5,2.06,101690,22530,2621,1216,60490,168,17.87,683,2.12,30.33,42.6,10.78,4,9.45,3.45,1.132,1.179
2,1,1.75,101380,22950,2693,1235,62160,174.8,18.16,670,2.16,30.97,43.15,10.43,4.01,9.37,3.48,1.078,1.159
2,2,1.56,101950,23050,2704,1253,63490,176.4,18.01,679,2.19,31.19,43.19,11.06,4.04,9.58,3.49,1.116,1.196
2,3,1.71,100860,22980,2752,1237,63140,172.5,18.18,655,2.18,31.59,45.8,10.97,4.12,9.62,3.48,1.157,1.102
2,4,2.32,101320,22950,2723,1261,63030,185.2,18.59,662,2.2,32.12,45.9,11.22,4.11,9.68,3.55,1.222,1.101
2,5,1.76,101630,23000,2725,1247.9,62850,173.6,17.78,674,2.09,31.31,45.73,10.61,4.14,9.49,3.34,1.248,1.098
3,1,2.45,102000,23500,2914,1255,65100,173.6,18.9,695,1.86,32.13,46.77,11.37,4.38,9.58,3.73,1.3,1.121
3,2,2.04,101150,23280,2815,1249.2,64450,179.6,18.43,683,2.09,31.96,46.8,10.56,4.26,9.52,3.76,1.209,1.127
3,3,2.14,102220,23280,2842,1253,64380,177.1,18.4,665,2.05,32.07,48.2,10.97,4.44,9.59,3.49,1.273,1.062
3,4,1.87,102390,23370,2942,1275,65680,178.6,18.48,675,2.15,32.77,51.43,11.76,4.34,9.65,3.9,1.282,1.141
3,5,2.33,102000,23290,2882,1273,65520,174.9,18.85,672,2.35,32.45,48.58,11.4,4.41,9.52,3.65,1.284,1.18
4,1,2.15,102400,23580,2980,1269,65640,180.6,18.71,679,2.31,32.97,51.4,11.71,4.42,9.69,3.59,1.43,1.118
4,2,1.87,102280,23580,2992,1276,65820,185.2,18.56,665,2.1,32.86,49.22,11.62,4.46,9.84,3.78,1.3,1.17
4,3,2.44,102800,23480,2964,1268,65300,184.2,18.48,674,2.28,32.96,51.1,11.01,4.47,9.97,3.61,1.256,1.091
4,4,2.02,103510,23610,2970,1285,65350,180.1,18.19,685,2.14,32.71,50.5,11.26,4.58,9.86,3.92,1.31,1.142
4,5,1.98,103250,23510,2960,1282,65500,175.8,18.18,679,2.11,32.29,50,11.09,4.19,9.59,3.56,1.259,1.097
